Postcode,Suburb,Activity,YearsTrading,Aboriginal_TorresStrait,FullTime_Employees,PartTime_Employees,Casual_Employees,Impact_WFH,ComparisonTo_PreCovid,Forecast_12Months,HaveYouReduced_opening_hours,HaveYouReduced_employee_numbers,HaveYou_PermanentClosure_ShiftT,HaveYou_PermanentClosure_Shif_1,BusinessCapacity_FullOperationa,BusinessCapacity_IncreasedCapac,BusinessCapacity_other,EmployeeLocation,EmployeeLocationOther,DigitalServices_WebsiteChanges,DigitalServices_ECommerce_Onlin,DigitalServices_NewServices_Tel,DigitalServices_SocialMedia_Cam,DigitalServices_other,SupportRequired_NotSeeking,SupportRequired_FreeSkills_and_,SupportRequired_Communication_o,SupportRequired_Advocacy_forBus,SupportRequired_PrecinctMarketi,SupportRequired_PrecinctEvents_,SupportRequired_Education_on_Go,SupportRequired_waiving_Outdoor,SupportRequired_Government_Fees,SupportRequired_waiving_Governm,SupportRequired_business_suppor,SupportRequired_less_red_tape_a,SupportRequired_statutory_assis,SupportRequired_finding_employe,SupportRequired_other,AreasToStrengthen_12_18Months_s,AreasToStrengthen_12_18Months_1,AreasToStrengthen_12_18Months_c,AreasToStrengthen_12_18Months_2,AreasToStrengthen_12_18Months_a,AreasToStrengthen_12_18Months_e,AreasToStrengthen_12_18Months_d,AreasToStrengthen_12_18Months_m,AreasToStrengthen_12_18Months_p,AreasToStrengthen_12_18Months_3,AreasToStrengthen_12_18Months_4,AreasToStrengthen_12_18Months_5,AreasToStrengthen_12_18Months_b,AreasToStrengthen_12_18Months_6,AreasToStrengthen_12_18Months_r,AreasToStrengthen_12_18Months_o,PreferredFormat_BusinessEducati,PreferredFormat_BusinessEduca_1,FinancialComparison_to12Months_,FinancialComparisonForecast12Mo,AustralianEconomyForecast_12Mon,YourSustainabilityPractices_rec,YourSustainabilityPractices_gre,YourSustainabilityPractices_wat,YourSustainabilityPractices_Foo,YourSustainabilityPractices_net,YourSustainabilityPractices_non,YourSustainabilityPractices_tel,StrategiesToSupport_DiversityIn,StrategiesToSupport_Diversity_1,StrategiesToSupport_Diversity_2,StrategiesToSupport_Diversity_3,StrategiesToSupport_Diversity_4,StrategiesToSupport_Diversity_5,StrategiesToSupport_Diversity_6,StrategiesToSupport_Diversity_7,StrategiesToSupport_Aboriginal_,StrategiesToSupport_Aboriginal1,StrategiesToSupport_Aborigina_1,ContinuityPlan_Manage_FutureRis,industry_code,industry_description_cbi_sector,cbi_industry_sector,cbi_sub_sector,ObjectId
2000,Sydney,Retailer,6 to 10,No,2,,,less customer,Decreased,Decrease > 50%,Yes,,,,,,,Business premises,,Temporary,Temporary,Temporary,Temporary,,,,,,,,,,Yes,,Yes,,Yes,,,,,Yes,,,,Yes,Yes,,,,,Yes,,,,1:1 mentoring,,Worse off,Better off,Worse off,,,,,,Yes,,,,Yes,,,,,,,No,,Yes,4279M,Other Retailing N.E.C.,Retail and Personal Services,Other,413
2000,The Rocks,Retailer,> 10,No,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4279M,Other Retailing N.E.C.,Retail and Personal Services,Other,414
2037,Glebe,Retailer and Wine Bar,> 10,No,,,2,good,Decreased,Increase,Yes,Yes,,,,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4520A,Small Bar,"Tourist, Cultural and Leisure",Pubs & Clubs,415
2000,Sydney,Restaurant,1 to 5,No,4,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,416
2015,Alexandria,Cafe,1 to 5,Yes,2,4,1,getting workers,Decreased,Decrease,Yes,Yes,,,,,,Split between locations (hybrid),,New,Improved/expanded,Improved/expanded,New,,,Yes,,Yes,,Yes,,,,,,,,,,,Yes,,,,,,Yes,,Yes,,,,,,,1:1 mentoring,,Better off,Better off,Worse off,Yes,,Yes,Yes,,,,,Yes,Yes,,Yes,,,,Yes,,,Yes,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,417
2000,Haymarket,Room Escape,6 to 10,No,,12,4,Real-life room escape is an indoor entertainment and we only provide in-person service at our venues so that people working from home means losing business for us.,Increased,Decrease,,,,,,,"Others (please describe) 
Booking rate is lower than lockdown.",Business premises,,No change,No change,No change,No change,,,,,Yes,Yes,,,,,,,,,Yes,,,Yes,,,,,,,Yes,,,,,,,,In-person events,,Worse off,Better off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,No,9131,Amusement Parks and Centres Operation,"Tourist, Cultural and Leisure",Other Recreation Services,418
2010,Surry Hills,Rug Store,1 to 5,No,2,,,Lower than anticipated revenue.,Remained the same,Increase,,,,,Yes,,,Business premises,,No change,No change,No change,No change,,,,Yes,,,,,,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Better off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,No,4212,Floor Coverings Retailing,Retail and Personal Services,Furniture & Carpet,419
2038,Annandale,,< 1,No,1,,,sfsdad,Decreased,Remain the same,,,,Yes,,,,Fully remote,,New,,,New,,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,In-person events,,Better off,Better off,Better off,,,Yes,,,,,,Yes,,,,,,,,No,,No,ZZZZ,Not Surveyed,Other,Other - Other,420
2009,Pyrmont,Seafood Wholesale Retail,> 10,No,67,,15,"Cultural challenges - loss of connection between staff members, divide between those who could work from home versus those who were considered critical.",Increased,Increase,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,,Yes,Yes,Yes,Yes,,,,,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,Online webinars or live streaming,,Worse off,Better off,Worse off,Yes,,,,,,,,Yes,Yes,,,,,,,No,,Yes,4121B,Fish Shops,Food and Drink,Food and Drink Specialised,421
2000,Sydney,Security,> 10,No,25,100,300,"Management can work from home, but we are now asking them to attend the office for most of the week",Decreased,Increase,,Yes,,,Yes,,,Other (please describe),A number of sites,No change,No change,Improved/expanded,No change,,,Yes,,,Yes,,Yes,,,,,Yes,,Yes,,,Yes,Yes,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Online webinars or live streaming,,Worse off,Better off,Better off,Yes,,,,,,We donate all of our old uniforms,Yes,Yes,Yes,Yes,,Yes,,,Yes,,We have our RAP and are working to employ Aboriginal and or Torres Strait Islanders,Yes,7712C,Security Services,Professional and Business Services,PBS - Other Services,422
2060,,Security Consulting,1 to 5,No,1,1,1,Less connect between employees,Remained the same,Increase,,Yes,,,,,,Split between locations (hybrid),,Improved/expanded,No change,Improved/expanded,Improved/expanded,,,,,Yes,,,,,,,Yes,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,In-person events,,Better off,Better off,Better off,,,,,,Yes,,Yes,,Yes,,,,,,,No,,Yes,7712C,Security Services,Professional and Business Services,PBS - Other Services,423
2010,Surry Hills,Cafe,1 to 5,No,3,,5,Significant loss of weekday trade.,Decreased,Don't know,Yes,Yes,,,,,,Business premises,,Improved/expanded,New,New,Improved/expanded,,,,Yes,Yes,Yes,,,,Yes,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,1:1 mentoring,,Worse off,Worse off,Worse off,Yes,,,Yes,,,,,Yes,,,,,,,,No,,Don't know,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,424
2011,Elizabeth Bay,Cafe,1 to 5,Yes,5,,,"Great. Better than ever. Corporate white collar workers normally get free coffee, snacks and food at work, but wfh has forced them out to local cafes.",Significantly increased (more than 50% increase),Decrease,,,,,,Yes,,Business premises,,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,"Online, deliveries and take away expanded",,,,,Yes,Yes,Yes,,Yes,,,Yes,,,More wfh. More tax deductions for people spending at cafes,Yes,Yes,Yes,,,,Yes,,,Yes,,,,,,,In-person events,,Better off,Worse off,Better off,Yes,,,Yes,,,,,,,,,,Yes,,Yes,No,Do not wish to tokenise staff because of race. All people should be treated equal. Indigenous hire for political points and tokens is more racist than not hiring diversity.,Don't know,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,425
2000,Haymarket,Shopping Centre Management,> 10,No,11,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6712,Non-Residential Property Operators,Property Development and Operation,Property Services,426
2000,Haymarket,Singing Lessons,> 10,No,,,3,Loss of income. Needing to put prices up.,Decreased,Increase,,Yes,,,,,,Business premises,,No change,No change,Improved/expanded,No change,,,,,,,,,,,,,Yes,,Yes,,Yes,,,,Yes,,,Yes,,,,,Yes,,,,1:1 mentoring,,Worse off,Worse off,Better off,,,,,,,,,,,,,,,,,,,,8212,Arts Education,Higher Education and Research,HEandR - Education,427
2011,Elizabeth Bay,Restaurant,> 10,Prefer not to say,4,,1,"Good in 2011   The 2-3 year renovation and the constant cutting construction stones has impacted the business more than NSW 4.5 month shut down. Its just never finished, then it dug up again and re done - sometimes 3 times.   The berry to bomaderry freeway was done in 2 years, almost 3 years later macleay Street renovation is still going on. Business should be compensated by City of Sydney Council",Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,No change,,,,,,,,,,,,,,,,"Getting Macleay Street 2011 finished, I live in 2011 the excessive costs Saturday and Sunday night staff the council obviously have more money than common sense to have such time cost and delay blow outs. Businesses and local rate payers should be honestly informed of completion, the business owners often observe sub contractors standing around for hours doing nothing on their mobile phones, while rate payers pay for this. It is an absolute disgrace, the mismanagement also needs an enquiry into the overall project supervision and management. All the business owners on Macleay talk about it to each other in astonishment daily.",,Yes,Yes,,,,,,,,,,,,,,In-person events,,Worse off,Better off,Better off,Yes,,Yes,,,,,,,Yes,,,,,,,No,,Yes,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,428
2000,Millers Point,Snelgroves Solicitors,> 10,No,2,,,none,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,No change,No change,No change,No change,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,In-person events,,Better off,Better off,Worse off,Yes,,,,,,,,Yes,,,,,,,,No,,No,6931,Legal Services,Professional and Business Services,PBS - Legal Services,429
2009,Pyrmont,Social Enterprise Supporting Creative Industries Professionals,> 10,No,2,1,2,Depressed local village community - empty shops,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,,,,Yes,Yes,,,,,Yes,Yes,Yes,,force landlords to rent out vacant shops - penalties for keeping shops empty,,Yes,Yes,,,,,,Yes,,,,,,,,In-person events,,Worse off,Better off,Worse off,Yes,,Yes,Yes,,,,,Yes,Yes,,,,,,Yes,,RAP,Yes,9551,Business and Professional Association Services,Professional and Business Services,PBS - Interest Groups,430
2000,Sydney,Software,> 10,Prefer not to say,36,,,Not much,Remained the same,Remain the same,Yes,,,,,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,Computer System Design and Related Services,ICT,ICT - Services,431
2000,Sydney,Restaurant,> 10,No,12,0,32,Loss of practically 90% of business,Decreased,Increase,Yes,Yes,,,,,,Business premises,,No change,No change,No change,Improved/expanded,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Better off,Better off,,,,,,Yes,,,,,,,,Yes,,,No,,Don't know,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,432
2000,Sydney,Software,> 10,No,30,2,,Staff retention  Team culture  Productivity around design,Remained the same,Increase,,,,,Yes,,,Split between locations (hybrid),,No change,No change,No change,Improved/expanded,,,,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,Yes,,,,,,,,In-person events,,Worse off,Better off,Better off,Yes,,,,,,,Yes,Yes,Yes,,,,,,,No,,Yes,7000,Computer System Design and Related Services,ICT,ICT - Services,433
2021,Centennial Park,Software Consulting,> 10,No,3,,,Good...  We support local businesses in the areas we live in,Remained the same,Increase,,,Yes,,,,,Split between locations (hybrid),,Improved/expanded,No change,Improved/expanded,No change,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,,Yes,,,,,,Online webinars or live streaming,,Worse off,Better off,Better off,Yes,Yes,,,,,,,,Yes,,,,,,,No,,No,7000,Computer System Design and Related Services,ICT,ICT - Services,434
2000,Sydney,Software Design,1 to 5,No,9,2,1,Better productivity from developers  Greater barriers to sales because of lack of live events  Zoom/Teams is bad for networking   Zoom/Teams better for demos  Overall bad for the economy,Remained the same,Increase > 50%,,,,,,,Hybrid office and WFH,Split between locations (hybrid),,Improved/expanded,New,Improved/expanded,Improved/expanded,,,Yes,,Yes,Yes,,Yes,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,,,Yes,,,,,,,,In-person events,,Worse off,Better off,Better off,Yes,,,,,,Our software supports ESG,Yes,Yes,Yes,Yes,,,,Our software a) presents all documentation in 100 languages and b) in WCAG 2.1 accessible format,,,"We already hire employees from multiple countries, We embrace Reconciliation and would hire First Nations people on the same basis.",Yes,7000,Computer System Design and Related Services,ICT,ICT - Services,435
2010,Surry Hills,Software Design,> 10,No,182,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,Computer System Design and Related Services,ICT,ICT - Services,436
2000,Sydney,Software Design and Development,> 10,No,35,10,0,Lower output. Happy to get a break to focus on  broader life.,Remained the same,Decrease > 50%,,,,,Yes,,,Business premises,,New,Improved/expanded,Improved/expanded,No change,,Yes,,,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,,,,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Worse off,Worse off,,,,,,,The above plans are marginal for most but no doubt politically relevant to the council. These services should in the main be provided by utilities or the council for small to medium businesses.,Yes,Yes,Yes,,,,,,Yes,,,Yes,7000,Computer System Design and Related Services,ICT,ICT - Services,437
2007,Ultimo,Software Development,> 10,No,2,,2,Positive,Decreased,Remain the same,,Yes,,,,,,Split between locations (hybrid),,Improved/expanded,No change,Improved/expanded,No change,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Online webinars or live streaming,,Better off,Worse off,Worse off,Yes,,,,,,,,,,,,,Yes,,,No,,Yes,7000,Computer System Design and Related Services,ICT,ICT - Services,438
2010,Surry Hills,Software Development,1 to 5,No,15,,,"People have left my company because they cannot work from home, and it has been very difficult to find people that want to work from the office. People working from home for our business means we would have to shut",Decreased,Decrease,,Yes,,,,,,Business premises,,No change,No change,Improved/expanded,No change,,,,,,,,,,,,Yes,,,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,,,,,In-person events,,Worse off,Better off,Worse off,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,,,,,,No,,Yes,7000,Computer System Design and Related Services,ICT,ICT - Services,439
2000,Haymarket,Software Development,1 to 5,No,2,,,Only operating for the last 2 years when WFH has been required or an option but overall hasn't negatively affected the business,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,No change,No change,Improved/expanded,No change,,,,,,,Yes,,,,,Yes,,,,,,,Yes,,Yes,,,,Yes,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Worse off,,,,,,Yes,,,Yes,Yes,,,,,,,No,,No,7000,Computer System Design and Related Services,ICT,ICT - Services,440
2000,The Rocks,Pub Hotel Accommodation,> 10,No,15,,10,"Less people around mid week. Lunch trade has been slow, particularly early in the week.",Remained the same,Increase,,,,,Yes,,,Business premises,,Improved/expanded,Temporary,No change,Improved/expanded,,,,Yes,,Yes,Yes,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,,,,,,,Yes,,,,,,,In-person events,,Better off,Better off,Better off,Yes,,,,,,Bottle crusher where we get rebates. Cardboard crusher to reduce space and remove separate from general waste,,,Yes,,,,,,,No,,Don't know,4520,"Pubs, Taverns and Bars","Tourist, Cultural and Leisure",Pubs & Clubs,441
2000,Haymarket,Pub,> 10,No,4,,12,"Quieter streets, less people coming into the city to venues",Remained the same,Remain the same,,,,,Yes,,,Business premises,,No change,No change,No change,No change,,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,,,,,,,,Yes,,,,,,,No,,Don't know,4520,"Pubs, Taverns and Bars","Tourist, Cultural and Leisure",Pubs & Clubs,442
2009,Pyrmont,Hotel,> 10,No,7,1,10,SUbstantial. Being a customer facing business we rely on foot traffic from office based workers (especially white collar in this area). We have seen a downturn in trade of approximately 25 - 30%,Decreased,Remain the same,,,,,Yes,,,Business premises,,No change,Improved/expanded,No change,No change,We have implemented an order from table system to lower guest movement throughout the venue,,,,,Yes,Yes,,,,,,Yes,,Yes,,Yes,Yes,,,,,,Yes,,Yes,,Yes,Yes,Yes,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Worse off,Yes,,,,,,,Yes,Yes,,,,,,,Yes,,"Built into our key values ""We are inclusive""",Yes,4400A,Hotels,"Tourist, Cultural and Leisure",Accommodation,443
2000,Sydney,Software Development,1 to 5,No,20,,,"Loss productivity, culture",Remained the same,Increase,,,,,Yes,,,Split between locations (hybrid),,No change,No change,No change,No change,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,In-person events,,Better off,Better off,Worse off,Yes,,,,,,,,Yes,,Yes,,,,,,No,,Yes,7000,Computer System Design and Related Services,ICT,ICT - Services,444
2000,Sydney,Solicitor,> 10,No,2,,,Considerably less 'walk-in' business and fewer face to face meetings in the city. Weakening property market has had a significant impact on a large part of our business,Remained the same,Remain the same,Yes,,,,,,Moved to approx 40% WFH and the majority of business is now online,Split between locations (hybrid),,Improved/expanded,Improved/expanded,No change,No change,,,,,Yes,Yes,Yes,,,Yes,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Worse off,Worse off,Yes,,Yes,,,,,,,Yes,,,,,,,No,,Yes,6931,Legal Services,Professional and Business Services,PBS - Legal Services,445
2000,Sydney,Solicitors,> 10,No,3,1,,Less people around and closure of food venders,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,No change,No change,New,No change,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,Online webinars or live streaming,,Better off,Better off,Worse off,Yes,,,,,,,,,,,,,Yes,,,No,,Yes,6931,Legal Services,Professional and Business Services,PBS - Legal Services,446
2016,Redfern,Strategic Public Affairs,< 1,No,2,,,Make collaboration and teamwork more difficult. Less face time with client affects relationship building and work efficiency,Decreased,Remain the same,,Yes,,,,,,Fully remote,,No change,No change,Improved/expanded,Improved/expanded,,,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,In-person events,,Worse off,Better off,Better off,Yes,,,Yes,,,,,,,,,,Yes,,,No,,No,6962,Management Advice and Related Consulting Services,Professional and Business Services,PBS - Business Services,447
2010,Surry Hills,Surveying Association,> 10,No,4,0,0,Working from home has not had a huge impact on the business aside from the cost of initial set up with laptops etc,Increased,Remain the same,,,,,Yes,,,Split between locations (hybrid),,,New,New,Improved/expanded,,,Yes,Yes,Yes,,,,,Yes,,Yes,,,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,,,Yes,,,,Online webinars or live streaming,,Worse off,Better off,Worse off,,,,,,Yes,,Yes,Yes,Yes,,,,,,,No,,Yes,9551,Business and Professional Association Services,Professional and Business Services,PBS - Interest Groups,448
2000,The Rocks,Hotel Restaurant and Cafe,> 10,No,20,20,10,Slow trade in Food and Beverage outlets   Lack of meetings and events,Remained the same,Increase,Yes,,,,Yes,,Restaurant opened 5 days breakfast and dinner only,Other (please describe),Admin working from home and in office one day per week,Improved/expanded,Improved/expanded,No change,Improved/expanded,,,Yes,Yes,,Yes,Yes,,,,,,,,Yes,,Yes,Yes,,,,,,,Yes,,,,Yes,,,,In-person events,,Better off,Better off,Better off,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,,,Yes,,,Yes,4400A,Hotels,"Tourist, Cultural and Leisure",Accommodation,449
2016,Redfern,Tailoring and Clothing Alterations,> 10,No,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9491A,Clothing Repair,Retail and Personal Services,Repair,450
2000,Sydney,Takeaway Shop,6 to 10,No,,,2,Significant impact on sales and food traffic in Sydney CBD,Decreased,Increase,Yes,Yes,,,,,,Business premises,,No change,No change,No change,Temporary,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,Yes,,,Yes,,,,In-person events,,Better off,Better off,Worse off,,,,,,Yes,,,,,,,,Yes,,,No,,Don't know,4512,Takeaway Food Services,Food and Drink,Food and Drink Specialised,451
2037,Glebe,Talent Management,1 to 5,No,3,,2,Well at least we haven't had to deal with weekly parking fines in Glebe for parking just to go to work!!!! so its much more prefereable to work from home to be frank.,Remained the same,Increase,,,,,,,We now work from home 3 days a week and in office for only 2. - mainly to avoid parking fines,Split between locations (hybrid),,No change,No change,No change,No change,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Worse off,,,,,,,,,,,,,,,,,,,,7211,Employment Placement and Recruitment Services,Professional and Business Services,PBS - Business Services,452
2000,Haymarket,Hotel,> 10,No,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400A,Hotels,"Tourist, Cultural and Leisure",Accommodation,453
2011,Potts Point,Cafe,> 10,No,3,6,2,Huge drop in trade,Remained the same,Remain the same,,,,,Yes,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,454
2044,St Peters,Tech Engineering,6 to 10,No,20,,,"difficult, less productive",Decreased,Increase,,Yes,,,,,some still work offsite,Split between locations (hybrid),,Improved/expanded,No change,No change,Improved/expanded,,,,,Yes,,,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,,,,,,,,,,,,,,In-person events,,Better off,Better off,Worse off,Yes,,Yes,,,,,,Yes,,,,,,,,No,,Yes,6923,Engineering Design and Engineering Consulting Services,Professional and Business Services,PBS - Technical Services,455
2010,Surry Hills,Pub,> 10,No,10,2,10,Terrible.  Income greatly reduced.,Decreased,Remain the same,Yes,Yes,,,,,,Business premises,,Improved/expanded,No change,No change,Improved/expanded,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,,,,Yes,,,,,,,Online webinars or live streaming,,Worse off,Worse off,Worse off,Yes,,Yes,,,,,,Yes,,,,,,,,No,,No,4520,"Pubs, Taverns and Bars","Tourist, Cultural and Leisure",Pubs & Clubs,456
2000,Sydney,Professional Services,> 10,No,,14,,Less efficient,Remained the same,Remain the same,,,,,Yes,,,Business premises,,Improved/expanded,No change,Improved/expanded,No change,,,,,,,Yes,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Better off,,,,,,,,,,,,,,,,,,,,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,457
2000,Haymarket,Accounting Practice,> 10,No,2,0,1,None,Remained the same,Remain the same,Yes,,,,,,,Fully remote,,Improved/expanded,No change,No change,No change,,Yes,,,,,,,,,,,,,,,Yes,,,,,,Yes,Yes,,Yes,,,Yes,,,,In-person events,,Worse off,Better off,Worse off,Yes,,Yes,,Yes,,,,Yes,,Yes,Yes,,,,,No,,No,6932,Accounting Services,Finance and Financial Services,Financial Services,458
2000,Sydney,Pub,> 10,No,8,,32,Decrease in trade right across the week with little foot traffic. Still have not returned to pre covid numbers.,Decreased,Increase,Yes,Yes,,,,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4520,"Pubs, Taverns and Bars","Tourist, Cultural and Leisure",Pubs & Clubs,459
2000,Barangaroo,Technology Provider,1 to 5,No,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,Computer System Design and Related Services,ICT,ICT - Services,460
2000,Sydney,Legal,> 10,No,6,,,Difficulties with collaboration and teamwork.  Isolation of team members. More difficult connections with clients.  Challenges re: preparing for and attending court.,Decreased,Remain the same,,Yes,,,,,"Hybrid work, part WFH and part from office",Split between locations (hybrid),,No change,Temporary,Temporary,No change,,,,,,,,,,Yes,,,Yes,,,"Accessibility to city office, more parking for employees refusing to use public transport.",,,Yes,,,,,,Yes,,,,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Worse off,Worse off,Yes,,Yes,,Yes,,Ask Australia Square,,,Yes,,,,,,,No,,No,6931,Legal Services,Professional and Business Services,PBS - Legal Services,461
2000,Barangaroo,Telco Retail,> 10,No,20,,,NA,Remained the same,Increase,Yes,,,,,,,Business premises,,No change,No change,No change,No change,,,Yes,Yes,,,,,,,,,,,Yes,,,Yes,,,,Yes,,,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Worse off,Yes,,,,,,,Yes,,,,,,,,,No,,No,4221E,Mobile Phone Outlet,ICT,ICT - Retailing,462
2050,Camperdown,,1 to 5,No,30,,,test,Decreased,Remain the same,Yes,,,,,,,Fully remote,,Improved/expanded,Temporary,No change,Improved/expanded,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,1:1 mentoring,,Better off,Better off,Better off,,,,Yes,,,,Yes,,,,,,,,Yes,,,Yes,ZZZZ,Not Surveyed,Other,Other - Other,463
2000,Sydney,Professional Services,> 10,No,60,4,,"The professionals can work from home at any time, the admin staff cannot, it is not a service they can provide from home",Remained the same,Remain the same,,,,,Yes,,,Business premises,,Improved/expanded,No change,No change,No change,,Yes,,,,,,,,,,,,,,,,Yes,,Yes,,,Yes,,,Yes,,Yes,,,,,Online webinars or live streaming,,Better off,Better off,Worse off,Yes,,,Yes,,,,Yes,Yes,,,,,,,,No,,No,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,464
2000,Sydney,Theatre Management and Operation,< 1,No,12,,30,Very negative. less theatre goers in the city,Remained the same,Remain the same,,,,,Yes,,,Business premises,,New,No change,No change,Improved/expanded,,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,1:1 mentoring,,Better off,Better off,Worse off,Yes,,,,,,,,,Yes,,Yes,Yes,,,,No,,Yes,9003,Performing Arts Venue Operation,Creative Industries,Creative Recreation,465
